product_id,product_name,category,unit_price,unit_cost,supplier
1,Wireless Earbuds - Model 1,Electronics,2759.0,2042.05,"Rodriguez, Figueroa and Sanchez"
2,Wireless Earbuds - Model 2,Electronics,4619.0,3093.49,Doyle Ltd
3,Wireless Earbuds - Model 3,Electronics,1619.0,940.96,"Mcclain, Miller and Henderson"
4,Bluetooth Speaker - Model 1,Electronics,1109.0,802.07,Davis and Sons
5,Bluetooth Speaker - Model 2,Electronics,3939.0,2724.27,"Guzman, Hoffman and Baldwin"
6,Bluetooth Speaker - Model 3,Electronics,919.0,683.72,"Gardner, Robinson and Lawrence"
7,Smartwatch - Model 1,Electronics,5139.0,3044.69,Blake and Sons
8,Smartwatch - Model 2,Electronics,1759.0,1031.97,"Henderson, Ramirez and Lewis"
9,Smartwatch - Model 3,Electronics,2389.0,1564.68,Garcia-James
10,Laptop Bag - Model 1,Electronics,3059.0,1860.62,Abbott-Munoz
11,Laptop Bag - Model 2,Electronics,3989.0,2305.24,Blair PLC
12,Laptop Bag - Model 3,Electronics,2329.0,1451.6,Dudley Group
13,Power Bank - Model 1,Electronics,3179.0,2247.66,Arnold Ltd
14,Power Bank - Model 2,Electronics,1849.0,1207.11,"Mcclure, Ward and Lee"
15,Power Bank - Model 3,Electronics,3889.0,2175.08,Williams and Sons
16,USB-C Charger - Model 1,Electronics,3969.0,2318.31,Galloway-Wyatt
17,USB-C Charger - Model 2,Electronics,1149.0,850.0,James Group
18,USB-C Charger - Model 3,Electronics,5829.0,4148.38,"Flowers, Martin and Kelly"
19,Wireless Mouse - Model 1,Electronics,2389.0,1360.62,"Adams, Zuniga and Wong"
20,Wireless Mouse - Model 2,Electronics,4369.0,2787.56,"Reid, Ferguson and Sanchez"
21,Wireless Mouse - Model 3,Electronics,1439.0,933.96,Gray-Mayo
22,Webcam - Model 1,Electronics,989.0,723.81,"Watts, Robinson and Nguyen"
23,Webcam - Model 2,Electronics,2159.0,1473.53,Perez Inc
24,Webcam - Model 3,Electronics,2429.0,1588.6,Morales-Jones
25,Gaming Headset - Model 1,Electronics,3649.0,2141.86,"Walter, Edwards and Rios"
26,Gaming Headset - Model 2,Electronics,5849.0,4123.7,Wilkerson-Day
27,Gaming Headset - Model 3,Electronics,5699.0,4154.37,Baker and Sons
28,Tablet Stand - Model 1,Electronics,3919.0,2878.02,"Hoffman, Baker and Richards"
29,Tablet Stand - Model 2,Electronics,1269.0,747.69,"Ross, Robinson and Bright"
30,Tablet Stand - Model 3,Electronics,1049.0,645.2,"Snyder, Campos and Callahan"
31,Air Fryer - Model 1,Home & Kitchen,2199.0,1328.79,Burton Ltd
32,Air Fryer - Model 2,Home & Kitchen,4219.0,2621.48,Carlson-Cruz
33,Air Fryer - Model 3,Home & Kitchen,1699.0,1118.86,"Ferrell, Rice and Maddox"
34,Non-stick Pan Set - Model 1,Home & Kitchen,1059.0,752.36,Frazier Inc
35,Non-stick Pan Set - Model 2,Home & Kitchen,749.0,559.79,"Dyer, Potter and Mack"
36,Non-stick Pan Set - Model 3,Home & Kitchen,3959.0,2334.79,Rodriguez-Graham
37,Electric Kettle - Model 1,Home & Kitchen,439.0,313.05,Smith-Bowen
38,Electric Kettle - Model 2,Home & Kitchen,3659.0,2545.94,"Baker, Mason and White"
39,Electric Kettle - Model 3,Home & Kitchen,3959.0,2236.08,Harrell LLC
40,Blender - Model 1,Home & Kitchen,2059.0,1180.16,"Romero, Gonzalez and Brooks"
41,Blender - Model 2,Home & Kitchen,4379.0,2954.33,Ryan PLC
42,Blender - Model 3,Home & Kitchen,1929.0,1085.47,George Group
43,Vacuum Cleaner - Model 1,Home & Kitchen,1839.0,1131.05,Rodriguez LLC
44,Vacuum Cleaner - Model 2,Home & Kitchen,3769.0,2553.54,Allen-Allen
